id,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Andel stål som produceras med vätgasprocess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Biobränsle för stålproduktion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Andel elektrifiering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Mängd insamlad och lagrad koldioxid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Andel elektrifierade processer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Förnybar vätgasproduktion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andel förnybara råvaror,,,,,,,0.83,0.93,0.92,1.04,1.37,1.89,1.83
Andel förnybar råvara,,,,,,,,,,,,,
Ökad plaståtervinning,45300.0,,96700.0,,81100.0,,83600.0,,50900.0,,46400.0,,
Mängd insamlad och lagrad koldioxid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andel biobränsle,91.99,93.1,93.45,94.43,95.79,96.09,95.84,95.25,94.88,96.7,96.03,,
Andel elanvändning,30.16,30.26,30.12,29.02,28.02,27.71,27.48,27.78,27.56,26.76,25.81,,
Andel biobränsle,1.56,1.75,2.69,2.94,3.59,7.9,7.24,2.95,7.04,5.06,12.14,,
Andel primär aluminiumproduktion med inerta anoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andel återvinning,67.5,,67.5,71.4,70.6,70.7,78.9,83.9,83.9,79.0,81.1,85.1,
Andel biobränsle,51.35553834,50.49756745,51.57555049,57.67872904,52.38095238,64.81987578,49.73061382,52.1310602,60.25304913,63.17049287,67.66,,
Andel elektrifiering,56.23812294,59.57910313,56.0018885,58.1056855,55.70502042,61.64797436,52.73635756,50.64866892,56.48848616,58.71254661,59.48,,
Fodertillsatser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Rötning till biogas,50.0,70.0,114.0,144.0,198.0,225.0,222.0,230.0,264.0,288.0,303.0,,
Antal laddbara bilar,190.0,366.0,1254.0,2647.0,7094.0,14545.0,26376.0,43287.0,66058.0,96952.0,178024.0,299675.0,437240.0
Biodrivmedel i diesel,5.2,5.2,7.5,12.0,13.0,17.0,20.8,21.1,22.9,23.5,24.4,26.8,
Elektrifiering godstransporter,6.0,5.0,16.0,24.0,37.0,54.0,68.0,86.0,120.0,180.0,275.0,413.0,
Biodrivmedel till tunga lastbilar,0.94,1.14,1.37,1.84,2.21,2.59,3.22,3.65,3.91,3.85,3.78,,
Nitrifikationshämmare,,,,,,,,,,,,,
Antal personer per bil,2.178,2.175,2.158,2.155,2.151,2.135,2.113,2.1,2.094,2.107,2.116,2.102,2.104
Energieffektivitet nya bensin och dieselbilar,1.69,1.72,1.73,1.72,1.71,1.71,1.69,1.69,1.65,1.64,1.66,1.73,1.71
Energieffektivitet tunga lastbilar,2.548,2.618,2.695,2.729,2.712,2.666,2.743,2.799,2.867,2.857,,,
Andel biobränsle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055996611,0.125895971,,0.8,
Energieffektivitet flygplan,249.0,245.0,240.0,238.0,243.0,248.0,234.0,237.0,235.0,240.0,,,
Andel biodrivmedel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,5.1,,
Andel eldrift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Flytande naturgas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13495.0,25035.0,,
Energieffektiv sjöfart,0.0,-4.16,-7.39,-8.89,-8.59,-3.48,-7.11,0.13,-5.85,3.99,-0.88,,
Andel persontransport som är gång/cykeltrafik,2.63106919,2.602954459,2.619695038,2.62959049,2.603355095,2.587457512,2.443995672,2.608795965,2.797115139,3.007693107,4.36,3.72,
Andel persontransporter med tåg,8.21,8.23,8.61,8.59,8.62,8.82,8.86,8.89,9.0,9.6,6.57,6.54,
Andel resfria möten,,,,,,,,,,,,,
Gods på järnväg,21567.0,21149.0,20546.0,19872.0,20040.0,19580.0,20243.0,20839.0,21511.0,20910.0,20464.0,21305.0,
Gods med sjötransport,7851.0,7794.0,6892.0,6764.0,6663.0,7221.0,7018.0,7155.0,7613.0,7799.0,7782.0,7910.0,
Fyllnadsgrad tung lastbil,13.17,13.82,13.55,13.76,14.89,14.82,13.98,13.57,13.75,13.62,,,
Andel nybyggda flerbostadshus med prefabricerad betong,24.0,25.0,31.0,28.0,35.0,33.0,38.0,35.0,40.0,32.0,40.0,,
Andel biobränsle,2.38797169,4.557179708,4.410911201,5.877371274,5.406788334,6.632227962,6.396652219,6.650764698,6.361883779,5.782160466,7.36,10.02,
Andel CCS i avfallsförbränning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spillvärme till fjärrvärme,4122.0,3852.0,4063.0,3835.0,3921.0,4037.0,4249.0,4329.0,4544.0,4566.0,4355.0,4884.0,4657.0
Förnybar andel av avfall till energiåtervinning,64.0,64.01,64.01,64.01,64.01,59.48,60.17,63.04,62.5,60.97,60.12,60.12,
Andel biobränsle för värme- och elproduktion,70.66,76.67,80.73,78.66,86.57,84.8,83.72,89.7,87.77,91.12,98.07,95.53,96.6
Andel torv ersatts med biobränsle,0.0,23.03,29.05,45.52,60.15,65.07,62.95,66.64,55.16,74.91,82.77,85.39,92.51
Mängd insamlad CO2 från fasta biobränslen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Konvertering till biobränsle,0.0,4006.0,2937.0,2940.0,5960.0,,8639.0,,8967.0,9177.0,,,
Konvertering till värmepump,0.0,8011.0,5874.0,5880.0,11920.0,,17278.0,,17934.0,18354.0,,,
Konvertering till fjärrvärme,0.0,8011.0,5874.0,5880.0,11920.0,,17278.0,,17934.0,18354.0,,,
Biodrivmedel i arbetsmaskiner,0.87,0.94,1.27,1.69,2.03,2.4,2.99,3.37,3.61,3.49,,,
Effektivare växtförädling,,,,,,,,,,,,,
CCS raffinaderi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kvarvarande utsläpp,,,,,,,,,,,,,
Minskad användning av lösningsmedel,0.0,-7.0,-18.0,-11.0,-18.0,-26.0,-15.0,-17.0,3.0,3.0,,,
Ersättning av fluorerade gaser,,,,,,,,,,,,,
Vindkraft som ersätter avfallsförbränning,3.487,6.108,7.164,9.842,11.234,16.323,15.479,17.609,16.617,19.847,27.53,27.11,33.087
Andel persontransporter med tåg,9.0,9.0,9.5,9.5,9.5,9.8,9.6,9.8,10.0,10.7,,,
Antal nya lägenheter i trähus,1047.0,882.0,1267.0,1711.0,1691.0,2322.0,3598.0,3937.0,2719.0,4034.0,4110.0,,
Andel biodrivmedel,4.7,4.7,4.6,5.1,5.0,4.9,5.0,5.9,6.3,5.1,6.4,8.0,
Antal konverterade naturgaspannor,0.0,0.0,-100.0,300.0,0.0,,162.0,,150.0,115.0,,,
Andel resor genom kollektivtrafik,10.26,10.64,11.34,11.2,11.59,11.72,11.54,11.36,11.48,11.72,8.98,8.47,
